date,last,open,max,min,volume,delta
02.04.2024,300.38,300.43,300.99,298.95,19980000.0,-0.0002
01.04.2024,300.43,300.0,301.6,299.53,28660000.0,0.005699999999999999
29.03.2024,298.72,299.38,299.49,298.0,17710000.0,-0.0009
28.03.2024,299.0,295.5,299.29,295.5,33680000.0,0.0132
27.03.2024,295.1,294.47,295.11,293.47,14560000.0,0.0034000000000000002
26.03.2024,294.11,294.5,295.77,293.09,16300000.0,0.0007000000000000001
25.03.2024,293.9,294.0,294.93,292.13,25570000.0,0.0031
22.03.2024,292.99,295.77,296.78,291.06,48980000.0,-0.0089
21.03.2024,295.62,295.99,297.3,291.85,70680000.0,0.0007000000000000001
20.03.2024,295.4,295.3,296.85,293.53,30700000.0,0.0007000000000000001
19.03.2024,295.2,298.3,299.4,294.21,59710000.0,-0.0123
18.03.2024,298.87,299.4,299.98,297.63,20280000.0,0.0019
15.03.2024,298.3,295.71,299.44,295.29,26040000.0,0.0083
14.03.2024,295.83,298.5,298.7,295.14,42210000.0,-0.0101
13.03.2024,298.85,301.2,301.49,298.7,24010000.0,-0.0068000000000000005
12.03.2024,300.9,299.6,301.07,297.34,28740000.0,0.0037
11.03.2024,299.79,301.0,302.95,298.5,41780000.0,-0.002
07.03.2024,300.4,297.72,300.58,297.24,21980000.0,0.009000000000000001
06.03.2024,297.71,298.2,299.33,296.82,17760000.0,-0.0023
05.03.2024,298.4,299.33,300.41,297.57,41760000.0,-0.0026
04.03.2024,299.17,295.87,299.5,295.8,40610000.0,0.0128
01.03.2024,295.38,292.2,295.88,292.2,27130000.0,0.0109
29.02.2024,292.19,292.31,293.2,291.3,22440000.0,0.0015
28.02.2024,291.75,292.6,293.95,289.75,49330000.0,-0.0026
27.02.2024,292.52,291.35,293.0,290.55,32500000.0,0.0044
26.02.2024,291.25,288.52,291.3,287.0,42970000.0,0.022799999999999997
22.02.2024,284.77,282.1,285.05,282.1,25180000.0,0.0098
21.02.2024,282.0,283.9,285.28,280.2,48920000.0,-0.0067
20.02.2024,283.9,289.2,289.28,283.29,44970000.0,-0.0174
19.02.2024,288.93,288.51,289.98,287.07,24330000.0,0.0021
16.02.2024,288.33,290.47,292.3,286.25,53450000.0,-0.0066
15.02.2024,290.24,289.3,290.45,287.63,25910000.0,0.0040999999999999995
14.02.2024,289.06,287.07,290.6,286.84,35870000.0,0.0069
13.02.2024,287.07,287.52,289.0,285.4,33310000.000000004,-0.0007000000000000001
12.02.2024,287.28,283.66,287.84,283.5,33890000.0,0.013300000000000001
09.02.2024,283.5,282.17,284.0,281.5,24380000.0,0.004699999999999999
08.02.2024,282.17,284.52,286.24,281.25,44130000.0,-0.0079
07.02.2024,284.41,278.82,284.5,278.81,45370000.0,0.0206
06.02.2024,278.67,278.0,278.99,277.3,15960000.0,0.003
05.02.2024,277.84,277.0,278.57,276.9,16059999.999999998,0.004
02.02.2024,276.74,277.0,277.3,276.0,12720000.0,-0.0004
01.02.2024,276.86,276.03,277.75,275.93,15980000.0,0.0031
31.01.2024,276.0,275.84,276.45,275.0,12540000.0,0.0012
30.01.2024,275.67,274.01,277.25,273.97,27240000.0,0.0059
29.01.2024,274.05,273.02,274.95,272.7,17100000.0,0.0051
26.01.2024,272.65,273.1,273.72,272.21,11130000.0,-0.0006
25.01.2024,272.81,274.0,274.18,271.55,24440000.0,-0.0034999999999999996
24.01.2024,273.77,275.9,276.44,273.7,20200000.0,-0.0077
23.01.2024,275.9,274.7,277.26,274.31,20090000.0,0.0034999999999999996
22.01.2024,274.93,274.86,275.9,273.85,15090000.0,0.0003
19.01.2024,274.86,277.39,277.47,273.55,28050000.0,-0.008
18.01.2024,277.07,278.24,278.87,276.76,17700000.0,-0.0033
17.01.2024,278.0,276.02,279.17,275.75,34260000.0,0.0072
16.01.2024,276.01,276.22,276.45,274.1,16110000.0,0.0002
15.01.2024,275.96,276.45,277.73,275.21,21400000.0,0.0004
12.01.2024,275.84,276.0,276.96,274.77,17700000.0,0.0005
11.01.2024,275.71,274.78,275.97,274.01,19530000.0,0.0044
10.01.2024,274.49,275.3,276.16,273.64,20660000.0,-0.0029
09.01.2024,275.28,276.97,278.0,274.71,20320000.0,-0.0053
08.01.2024,276.76,273.6,277.0,273.53,21490000.0,0.0115
05.01.2024,273.62,274.3,274.69,272.8,9640000.0,-0.0018
04.01.2024,274.12,274.67,275.48,273.7,11730000.0,-0.0016
03.01.2024,274.56,271.9,274.7,271.0,20590000.0,0.0138
29.12.2023,270.82,272.19,272.59,270.55,20810000.0,-0.0034000000000000002
28.12.2023,271.74,270.92,272.48,268.52,29440000.0,0.0024
27.12.2023,271.08,271.9,272.59,270.85,17210000.0,-0.003
26.12.2023,271.9,271.0,272.89,270.0,22660000.0,0.003
25.12.2023,271.08,271.72,273.85,270.05,38120000.0,-0.0008
22.12.2023,271.3,266.06,271.9,265.37,58720000.0,0.023
21.12.2023,265.19,266.4,266.87,263.5,33299999.999999996,-0.0053
20.12.2023,266.61,267.51,269.1,266.2,31090000.0,-0.0028000000000000004
19.12.2023,267.35,268.38,269.71,265.0,38290000.0,-0.0039000000000000003
18.12.2023,268.4,268.93,270.44,266.54,51600000.0,0.0007000000000000001
15.12.2023,268.21,256.6,268.91,256.6,84670000.0,0.0451
14.12.2023,256.64,261.4,262.75,255.58,40550000.0,-0.0146
13.12.2023,260.45,257.6,261.39,256.5,29840000.0,0.0111
12.12.2023,257.6,256.79,262.88,255.05,63930000.0,0.0028000000000000004
11.12.2023,256.89,265.17,266.47,254.81,77670000.0,-0.031200000000000002
08.12.2023,265.16,266.0,268.23,263.72,35360000.0,0.0002
07.12.2023,265.12,267.62,270.44,263.06,63560000.0,-0.0092
06.12.2023,267.58,279.92,280.79,266.83,100020000.0,-0.0431
05.12.2023,279.62,271.98,279.65,270.54,46890000.0,0.032
04.12.2023,270.96,273.6,274.95,270.52,37700000.0,-0.011000000000000001
01.12.2023,273.97,277.0,277.98,273.55,31660000.0,-0.0127
30.11.2023,277.5,276.7,278.65,272.75,55870000.0,0.0025
29.11.2023,276.8,279.36,280.56,276.2,29820000.0,-0.0111
28.11.2023,279.91,282.4,282.51,277.32,45510000.0,-0.0086
27.11.2023,282.33,287.4,289.0,278.88,79150000.0,-0.0158
24.11.2023,286.85,286.49,287.5,285.11,26070000.0,0.0023
23.11.2023,286.19,286.16,287.77,285.04,27720000.0,0.0001
22.11.2023,286.16,283.12,286.67,282.85,47300000.0,0.011899999999999999
21.11.2023,282.79,282.3,283.82,281.66,19100000.0,-0.0004
20.11.2023,282.91,281.96,284.2,281.61,25290000.0,0.004699999999999999
17.11.2023,281.6,279.7,282.5,278.66,31320000.0,0.0068000000000000005
16.11.2023,279.7,282.4,283.69,279.56,24700000.0,-0.0113
15.11.2023,282.89,280.87,283.93,278.51,41840000.0,0.0072
14.11.2023,280.87,283.7,283.88,280.54,40480000.0,-0.0109
13.11.2023,283.97,280.4,284.8,280.32,45890000.0,0.013500000000000002
10.11.2023,280.19,276.99,281.3,276.6,44640000.0,0.0128
09.11.2023,276.65,278.6,278.85,276.02,28430000.0,-0.0054
08.11.2023,278.15,273.64,278.35,273.28,58030000.0,0.0177
07.11.2023,273.31,273.01,274.78,272.2,32280000.0,-0.0004
06.11.2023,273.42,269.0,273.87,268.62,29270000.0,0.0182
03.11.2023,268.54,269.07,269.78,267.2,20980000.0,-0.0019
02.11.2023,269.06,270.0,270.98,268.5,25750000.0,-0.0023
01.11.2023,269.68,268.29,270.3,267.6,20610000.0,0.005
31.10.2023,268.35,270.0,270.5,266.87,26210000.0,-0.005699999999999999
30.10.2023,269.89,269.9,271.55,268.6,33350000.0,0.0007000000000000001
27.10.2023,269.7,269.93,271.98,266.8,49780000.0,-0.0007000000000000001
26.10.2023,269.9,274.11,276.0,269.12,59500000.0,-0.013999999999999999
25.10.2023,273.73,271.5,274.96,270.53,41830000.0,0.0091
24.10.2023,271.27,270.0,272.06,268.62,28030000.0,0.0043
23.10.2023,270.1,270.45,274.1,269.65,62430000.0,0.0011
20.10.2023,269.8,268.5,270.3,266.5,32880000.000000004,0.0043
19.10.2023,268.65,267.13,271.0,266.28,33530000.0,0.0028000000000000004
18.10.2023,267.9,270.0,271.19,266.11,40380000.0,-0.0078000000000000005
